Unnamed: 0,Patient_ID,PREFIX,FIRST,MIDDLE,LAST,GENDER,BIRTHDATE,AGE,MARITAL,STATE,FIPS,PHONE_NO,DRIVERS,SUFFIX,RACE,DEATHDATE,HEALTHCARE_EXPENSES,INCOME,BIRTHPLACE,SSN,PASSPORT,ETHNICITY,HEALTHCARE_COVERAGE,Doctor_ID,Address,Cause of Operation
1411,P01412,Mr.,Dawn,Paul,Brown,M,12/06/1975,50,Widowed,MO,,1655725963,No,Jr.,Asian,,19227,97897,California,752-67-6579,P918070662,Other,4783,D00005,9089 BROADWAY ST SAINT LOUIS MO 63111-5945 USA,Epidural Anesthesia
1412,P01413,Mrs.,Rebecca,Lynn,Perkins,M,06/28/1994,31,Married,MO,,3113208256,No,Sr.,Asian,,16437,46391,Illinois,948-44-6811,P339286049,Asian,190,D00024,326 CHASE PARK LN SAINT LOUIS MO 63126-5688 USA,Pediatric Hernia Repair
1413,P01414,Mr.,Angela,Leslie,Castro,M,03/07/1962,63,Widowed,MO,,9704543309,No,Jr.,Caucasian,,9139,32242,Missouri,429-17-4380,P134713652,Asian,9620,D00020,4962 HICKORY RD SAINT LOUIS MO 63138-8625 USA,Deep Brain Stimulation (DBS)
1414,P01415,Dr.,Samuel,Melissa,Williams,F,05/10/1981,44,Single,MO,,1949950862,Yes,III,Caucasian,,6155,94921,Texas,158-26-6932,P360524190,White,9864,D00001,2418 HICKORY RD SAINT LOUIS MO 63138-8355 USA,CT-guided biopsy
1415,P01416,Mr.,John,Stephanie,Berg,F,05/12/2004,21,Single,MO,,6392890539,No,III,Asian,,18272,98953,California,972-88-3496,P322989303,White,9407,D00024,6507 PESTALOZZI ST SAINT LOUIS MO 63117-3164 USA,Pediatric Hernia Repair
1416,P01417,Dr.,Sandra,Michael,Davis,F,05/03/1984,41,Married,MO,,5566572880,Yes,,Hispanic,,7174,61346,Illinois,424-14-3137,P828965510,White,9693,D00048,9897 LAFAYETTE AVE SAINT LOUIS MO 63102-5423 USA,Colonoscopy
1417,P01418,Master,Scott,Rafael,Rodriguez,F,11/16/1998,27,Single,MO,,1895286951,Yes,,Hispanic,,16099,84286,Texas,280-77-9716,P456964507,White,9778,D00034,7465 LAFAYETTE AVE SAINT LOUIS MO 63124-6615 USA,CT-guided biopsy
1418,P01419,Master,Samuel,Michael,Hopkins,F,04/15/1966,59,Single,MO,,2621448856,Yes,III,Caucasian,,6937,47819,California,360-38-4718,P320674199,Hispanic or Latino,8769,D00011,2939 LINDENWOOD AVE SAINT LOUIS MO 63111-6305 USA,Epidural Anesthesia
1419,P01420,Ms.,Jennifer,Julian,Castro,F,10/18/1973,52,Divorced,MO,,4572279295,No,III,Caucasian,,6660,63799,Illinois,614-64-3195,P560456230,Other,6746,D00031,9836 HICKORY RD SAINT LOUIS MO 63136-6832 USA,Pediatric Hernia Repair
1420,P01421,Master,Scott,Stephanie,Wright,F,11/27/1975,50,Divorced,MO,,5761944752,No,III,Caucasian,,14131,53329,Kansas,752-18-6337,P171485794,Asian,3928,D00006,3507 COVINGTON MANOR LN SAINT LOUIS MO 63107-9155 USA,CT-guided biopsy
1421,P01422,Mr.,John,Brendan,Brown,F,04/10/1960,65,Single,MO,,7000994310,Yes,III,Hispanic,,14921,79938,Illinois,115-55-3686,P360823615,Hispanic or Latino,8613,D00027,4989 LAFAYETTE AVE SAINT LOUIS MO 63114-4800 USA,Coronary Artery Bypass Grafting (CABG)
1422,P01423,Mr.,Rebecca,Leslie,Brown,F,03/11/2004,21,Widowed,MO,,7189403523,Yes,Jr.,Native American,,12736,39213,Kansas,970-47-9204,P305445160,Hispanic or Latino,9629,D00050,29 LINDENWOOD AVE SAINT LOUIS MO 63132-3573 USA,Colonoscopy
1423,P01424,Ms.,John,Rafael,Rodriguez,M,09/14/1996,29,Divorced,MO,,1651024677,No,,Caucasian,,5770,65959,Texas,352-77-4566,P109172672,Hispanic or Latino,4715,D00005,6804 CHASE PARK LN SAINT LOUIS MO 63110-2252 USA,Epidural Anesthesia
1424,P01425,Master,Jennifer,Julian,Hopkins,F,03/18/1962,63,Widowed,MO,,4323256294,Yes,III,African American,,8115,42320,Kansas,472-82-9999,P861784633,Other,5807,D00007,3285 CARDINAL WAY APT 2501 SAINT LOUIS MO 63138-6162 USA,Coronary Artery Bypass Grafting (CABG)
1425,P01426,Master,Angela,Melissa,Wright,F,11/15/2000,25,Divorced,MO,,4123685945,No,Sr.,Hispanic,,17034,60568,Texas,449-10-4404,P787580519,Asian,6522,D00014,3452 MAPLE LN SAINT LOUIS MO 63102-2592 USA,Colonoscopy
1426,P01427,Master,Scott,Brendan,Berg,F,04/12/1964,61,Married,MO,,3993403138,No,Sr.,Hispanic,,10682,77728,Kansas,810-96-8611,P994451151,Black,9671,D00027,7816 PESTALOZZI ST SAINT LOUIS MO 63138-6767 USA,Coronary Artery Bypass Grafting (CABG)
1427,P01428,Ms.,Samuel,Melissa,Rodriguez,M,09/26/1992,33,Widowed,MO,,5387402612,No,Sr.,Asian,,16791,34783,Missouri,834-56-3880,P244972185,Hispanic or Latino,7233,D00004,8652 TORLINA DR SAINT LOUIS MO 63121-4510 USA,CT-guided biopsy
1428,P01429,Mr.,Angela,Lynn,Wright,M,11/06/1955,70,Widowed,MO,,6653944519,No,III,Native American,,17159,47151,Illinois,837-55-6602,P686358225,Hispanic or Latino,8435,D00041,3078 PINE ST SAINT LOUIS MO 63138-3798 USA,Epidural Anesthesia
1429,P01430,Mr.,Rebecca,Paul,Perkins,M,08/27/1997,28,Divorced,MO,,8689567216,No,III,Caucasian,,8151,96217,Texas,950-83-4639,P976813680,White,7500,D00048,1398 TORLINA DR SAINT LOUIS MO 63128-2441 USA,Colonoscopy
1430,P01431,Ms.,Rebecca,Julian,Rodriguez,M,01/07/1966,59,Single,MO,,1094853400,No,III,Native American,,19388,58557,California,394-75-5459,P991463722,Other,7967,D00024,142 CARDINAL WAY APT 2501 SAINT LOUIS MO 63110-3069 USA,Pediatric Hernia Repair
1431,P01432,Mrs.,John,Lynn,Williams,F,12/19/1985,40,Widowed,MO,,8228012643,No,Sr.,Caucasian,,11925,36009,California,448-57-7405,P594656809,White,7396,D00010,8488 LINDENWOOD AVE SAINT LOUIS MO 63126-3407 USA,Electroconvulsive Therapy (ECT)
1432,P01433,Dr.,Scott,Paul,Cook,M,06/26/1999,26,Widowed,MO,,9126584057,Yes,Sr.,African American,,14732,45408,Missouri,665-86-9187,P829660269,Other,1020,D00034,6360 CATALAN ST SAINT LOUIS MO 63138-3462 USA,CT-guided biopsy
1433,P01434,Mrs.,Scott,Leslie,Berg,F,06/18/1978,47,Widowed,MO,,1317867103,Yes,Jr.,Native American,,17513,94722,Texas,779-17-4983,P940634214,White,7691,D00033,5292 TORLINA DR SAINT LOUIS MO 63118-5049 USA,Coronary Artery Bypass Grafting (CABG)
1434,P01435,Ms.,Dawn,Paul,Perkins,M,06/19/1988,37,Married,MO,,9609726299,Yes,Jr.,Native American,,12851,77255,Illinois,727-94-8434,P713671053,Black,397,D00027,6529 LINDENWOOD AVE SAINT LOUIS MO 63137-4126 USA,Coronary Artery Bypass Grafting (CABG)
1435,P01436,Ms.,Sandra,Justin,Perkins,M,06/21/1975,50,Divorced,MO,,5328289563,No,Jr.,Asian,,15672,64796,Texas,190-36-3521,P932622757,Other,4903,D00009,3738 CHASE PARK LN SAINT LOUIS MO 63140-3705 USA,Electroconvulsive Therapy (ECT)
1436,P01437,Master,John,Melissa,Berg,M,05/03/1964,61,Widowed,MO,,3335197261,No,,African American,,18912,42294,Texas,750-34-2127,P742186823,White,9843,D00043,2529 BROADWAY ST SAINT LOUIS MO 63131-3088 USA,Total Knee Replacement
1437,P01438,Master,Scott,Brendan,Wright,M,12/13/1995,30,Widowed,MO,,8488650664,Yes,Jr.,Caucasian,,18642,63972,California,161-80-1030,P203127810,Black,5917,D00015,7312 LINDENWOOD AVE SAINT LOUIS MO 63101-8948 USA,Total Knee Replacement
1438,P01439,Mr.,Scott,Rafael,Wright,F,02/26/1973,52,Single,MO,,9605717995,No,III,Caucasian,,13049,43466,Texas,211-55-2896,P132565128,Other,7060,D00043,4368 LINDENWOOD AVE SAINT LOUIS MO 63126-6170 USA,Total Knee Replacement
1439,P01440,Master,Rebecca,Rafael,Perkins,M,04/12/1966,59,Married,MO,,6131818451,Yes,Jr.,Asian,,10756,98652,California,708-72-6003,P124171979,Hispanic or Latino,8030,D00042,8922 PINE ST SAINT LOUIS MO 63127-5236 USA,Epidural Anesthesia
1440,P01441,Master,Sandra,Rafael,Wright,M,07/04/1991,34,Single,MO,,4152121754,No,III,African American,,16898,60536,Illinois,882-86-4839,P683689397,Asian,8930,D00026,9590 MAPLE LN SAINT LOUIS MO 63122-2933 USA,Total Knee Replacement
1441,P01442,Mrs.,Dawn,Stephanie,Davis,F,09/03/1989,36,Widowed,MO,,5044391561,No,,Asian,,16987,35466,Kansas,541-94-7022,P954653040,Asian,1451,D00014,4356 CHASE PARK LN SAINT LOUIS MO 63105-2145 USA,Colonoscopy
1442,P01443,Master,Dawn,Lynn,Berg,F,09/22/1972,53,Single,MO,,4561871043,Yes,Jr.,Native American,,15230,31357,Illinois,857-30-8211,P690089073,White,8619,D00039,3133 CHASE PARK LN SAINT LOUIS MO 63118-1353 USA,Coronary Artery Bypass Grafting (CABG)
1443,P01444,Master,John,Melissa,Berg,M,10/15/1992,33,Widowed,MO,,3662348913,No,Jr.,Caucasian,,14878,59190,Kansas,913-20-3284,P638187719,Other,2475,D00049,77 ARMINDA AVE SAINT LOUIS MO 63127-1482 USA,Coronary Artery Bypass Grafting (CABG)
1444,P01445,Mr.,Angela,Leslie,Hopkins,F,08/05/1964,61,Widowed,MO,,2090785383,No,Sr.,Asian,,5832,48658,Illinois,183-87-6744,P860457058,Hispanic or Latino,9220,D00005,7925 TORLINA DR SAINT LOUIS MO 63120-1881 USA,Epidural Anesthesia
1445,P01446,Mrs.,Dawn,Justin,Davis,M,03/26/2004,21,Married,MO,,9998240421,Yes,Sr.,African American,,10699,76496,California,762-66-1634,P940748723,Asian,499,D00035,5478 PINE ST SAINT LOUIS MO 63119-7122 USA,Electroconvulsive Therapy (ECT)
1446,P01447,Mr.,John,Justin,Davis,M,03/21/1960,65,Single,MO,,2324278943,No,,Native American,,16505,56524,California,826-66-7154,P483160814,Asian,2375,D00012,7841 LAFAYETTE AVE SAINT LOUIS MO 63128-8729 USA,Excision of Skin Cancer
1447,P01448,Mr.,John,Julian,Cook,F,07/17/1979,46,Divorced,MO,,1946384877,Yes,III,Hispanic,,19624,32976,Missouri,917-61-2229,P622899030,Black,2160,D00004,4847 ARMINDA AVE SAINT LOUIS MO 63141-7136 USA,CT-guided biopsy
1448,P01449,Mrs.,Samuel,Stephanie,Perkins,M,03/12/2000,25,Married,MO,,9936525590,Yes,,Caucasian,,13462,98907,California,893-60-7815,P959200189,Asian,9303,D00036,7934 PINE ST SAINT LOUIS MO 63139-1430 USA,Excision of Skin Cancer
1449,P01450,Mrs.,Kathryn,Brendan,Rodriguez,F,06/21/1992,33,Single,MO,,6865979797,Yes,Jr.,African American,,9789,69561,Texas,738-62-7900,P733501313,Black,3218,D00009,3774 PINE ST SAINT LOUIS MO 63117-7324 USA,Electroconvulsive Therapy (ECT)
1450,P01451,Mrs.,Scott,Stephanie,Perkins,M,01/28/1985,40,Single,MO,,9318807064,No,Sr.,African American,,15600,64906,Missouri,490-76-1309,P342973652,Hispanic or Latino,3060,D00015,5712 COVINGTON MANOR LN SAINT LOUIS MO 63126-2839 USA,Total Knee Replacement
1451,P01452,Dr.,John,Rafael,Davis,M,08/15/1960,65,Single,MO,,5212133230,No,Sr.,Hispanic,,7799,97895,Kansas,318-14-5609,P755504384,Asian,3577,D00035,4297 PESTALOZZI ST SAINT LOUIS MO 63125-8347 USA,Electroconvulsive Therapy (ECT)
1452,P01453,Mrs.,Benjamin,Michael,Brown,F,06/05/1950,75,Widowed,MO,,6601171069,No,Sr.,Caucasian,,7111,41446,Texas,896-50-9646,P714061252,Asian,7022,D00043,7357 PESTALOZZI ST SAINT LOUIS MO 63127-6159 USA,Total Knee Replacement
1453,P01454,Ms.,Scott,Stephanie,Castro,M,11/03/2001,24,Widowed,MO,,3427134563,Yes,Jr.,Native American,,13085,85126,California,499-48-9863,P659202690,White,8762,D00020,972 CHASE PARK LN SAINT LOUIS MO 63117-1733 USA,Deep Brain Stimulation (DBS)
1454,P01455,Mrs.,Sandra,Melissa,Perkins,F,08/22/1957,68,Divorced,MO,,8409414455,No,Sr.,Native American,,12863,54522,Kansas,925-72-9025,P228085452,Hispanic or Latino,9235,D00043,3455 LAFAYETTE AVE SAINT LOUIS MO 63136-5245 USA,Total Knee Replacement
1455,P01456,Dr.,Scott,Melissa,Perkins,F,07/27/2000,25,Married,MO,,1273212650,No,Jr.,Hispanic,,7178,87339,Illinois,390-89-5027,P366510851,Asian,22,D00008,650 MAPLE LN SAINT LOUIS MO 63124-9165 USA,Pediatric Hernia Repair
1456,P01457,Ms.,Sandra,Leslie,Castro,M,04/10/1994,31,Married,MO,,9718414675,Yes,,African American,,7988,90850,Missouri,351-24-6894,P862973824,Other,6565,D00033,7539 LAFAYETTE AVE SAINT LOUIS MO 63113-6415 USA,Coronary Artery Bypass Grafting (CABG)
1457,P01458,Master,Jennifer,Brendan,Perkins,F,01/05/1952,73,Widowed,MO,,4319897474,Yes,Sr.,Hispanic,,14995,56953,Missouri,607-77-1033,P683062376,Other,7278,D00027,511 LINDENWOOD AVE SAINT LOUIS MO 63125-8007 USA,Coronary Artery Bypass Grafting (CABG)
1458,P01459,Master,Scott,Justin,Berg,F,07/17/1964,61,Single,MO,,5443716819,No,,Native American,,11908,76863,California,352-26-4507,P495613617,White,826,D00016,8070 CARDINAL WAY APT 2501 SAINT LOUIS MO 63108-8750 USA,Total Knee Replacement
1459,P01460,Master,Samuel,Melissa,Wright,M,04/14/1968,57,Divorced,MO,,4423286047,Yes,III,Caucasian,,7608,97074,Illinois,482-76-7343,P309445433,White,5747,D00026,4854 ARMINDA AVE SAINT LOUIS MO 63118-6753 USA,Total Knee Replacement
1460,P01461,Mr.,Jennifer,Paul,Williams,F,04/11/1954,71,Divorced,MO,,2823523100,No,III,Native American,,12250,66484,Kansas,744-74-1952,P261495753,Black,3139,D00032,8360 PINE ST SAINT LOUIS MO 63136-4028 USA,Coronary Artery Bypass Grafting (CABG)
1461,P01462,Mr.,Samuel,Michael,Davis,F,03/21/1967,58,Married,MO,,2095754739,No,III,Native American,,10890,57288,Kansas,753-37-4818,P352638953,Black,3566,D00006,2244 MAPLE LN SAINT LOUIS MO 63111-6064 USA,CT-guided biopsy
1462,P01463,Dr.,Sandra,Leslie,Williams,M,10/18/1998,27,Married,MO,,6933977709,No,Jr.,Caucasian,,17158,85800,Kansas,396-90-3874,P679638637,White,3625,D00038,2477 LINDENWOOD AVE SAINT LOUIS MO 63115-7325 USA,Excision of Skin Cancer
1463,P01464,Mrs.,Benjamin,Paul,Hopkins,M,02/22/1976,49,Married,MO,,8388177484,No,Jr.,African American,,19904,86376,Kansas,972-25-5534,P119272453,White,3712,D00011,4093 CARDINAL WAY APT 2501 SAINT LOUIS MO 63123-7243 USA,Epidural Anesthesia
1464,P01465,Ms.,Sandra,Michael,Hopkins,M,08/27/2005,20,Married,MO,,8291521440,No,III,Hispanic,,5208,49024,Texas,585-23-6527,P987608839,Hispanic or Latino,694,D00039,440 CHASE PARK LN SAINT LOUIS MO 63120-2362 USA,Coronary Artery Bypass Grafting (CABG)
1465,P01466,Mrs.,Scott,Paul,Brown,M,05/10/1971,54,Divorced,MO,,6243126475,Yes,Jr.,African American,,7146,39218,Illinois,407-75-9633,P524186037,White,2175,D00034,3715 CHASE PARK LN SAINT LOUIS MO 63125-9195 USA,CT-guided biopsy
1466,P01467,Master,Kathryn,Stephanie,Davis,F,05/11/1997,28,Divorced,MO,,6965696708,No,Jr.,Asian,,13606,50919,Texas,588-69-6770,P388436395,Other,2340,D00028,5993 COVINGTON MANOR LN SAINT LOUIS MO 63109-8864 USA,Pediatric Hernia Repair
1467,P01468,Mrs.,Angela,Justin,Brown,F,01/25/1992,33,Single,MO,,2795549556,Yes,III,Native American,,18476,50593,Kansas,554-83-8862,P521388502,Asian,8757,D00036,1273 PESTALOZZI ST SAINT LOUIS MO 63131-1941 USA,Excision of Skin Cancer
1468,P01469,Ms.,Samuel,Stephanie,Hopkins,F,07/11/1963,62,Divorced,MO,,6357902132,Yes,Sr.,African American,,13420,68695,Illinois,970-74-5113,P204692465,Other,6504,D00024,1086 PESTALOZZI ST SAINT LOUIS MO 63104-3053 USA,Pediatric Hernia Repair
1469,P01470,Ms.,Rebecca,Stephanie,Davis,M,02/08/1951,74,Divorced,MO,,7772764627,Yes,Jr.,Hispanic,,9454,84456,Kansas,309-51-2287,P797338747,Other,3422,D00024,1296 CATALAN ST SAINT LOUIS MO 63112-3619 USA,Pediatric Hernia Repair
1470,P01471,Ms.,Angela,Stephanie,Cook,M,03/20/1970,55,Single,MO,,9385134600,No,,Caucasian,,12383,75636,Kansas,930-97-8059,P581877759,Hispanic or Latino,9467,D00034,5445 TORLINA DR SAINT LOUIS MO 63102-9006 USA,CT-guided biopsy
1471,P01472,Ms.,Jennifer,Leslie,Hopkins,F,06/28/1989,36,Married,MO,,5464929963,Yes,Sr.,African American,,10883,50286,Illinois,244-45-7372,P291048683,White,769,D00044,9700 HICKORY RD SAINT LOUIS MO 63129-6708 USA,Epidural Anesthesia
1472,P01473,Dr.,Benjamin,Paul,Williams,M,12/04/1974,51,Divorced,MO,,3967911813,Yes,Sr.,African American,,17604,67714,Illinois,492-92-8621,P311380095,White,7003,D00029,5662 PINE ST SAINT LOUIS MO 63111-9840 USA,Appendectomy
1473,P01474,Master,Rebecca,Julian,Wright,F,02/15/1966,59,Single,MO,,9924308644,No,,Asian,,5720,73069,Kansas,869-40-9926,P648889721,Other,4853,D00006,9299 MAPLE LN SAINT LOUIS MO 63139-6096 USA,CT-guided biopsy
1474,P01475,Mrs.,Kathryn,Stephanie,Rodriguez,M,03/12/1988,37,Widowed,MO,,6236689535,Yes,,Native American,,11825,81121,Texas,872-69-5175,P552806842,Other,9662,D00040,6384 BROADWAY ST SAINT LOUIS MO 63115-4412 USA,CT-guided biopsy
1475,P01476,Mr.,Jennifer,Stephanie,Brown,F,03/27/1984,41,Married,MO,,7489079799,No,,Caucasian,,14317,75002,Illinois,134-23-3159,P697909839,Other,8088,D00013,1713 PINE ST SAINT LOUIS MO 63135-3536 USA,Excision of Skin Cancer
1476,P01477,Master,John,Stephanie,Castro,F,06/06/1963,62,Divorced,MO,,6498305057,Yes,III,Native American,,13892,81815,Texas,485-84-5778,P806695869,Other,4754,D00041,9487 PINE ST SAINT LOUIS MO 63135-7064 USA,Epidural Anesthesia
1477,P01478,Mr.,Rebecca,Leslie,Castro,F,01/13/1997,28,Widowed,MO,,7518709165,No,III,Asian,,15724,86935,California,629-44-5650,P648550186,Asian,407,D00008,7369 LINDENWOOD AVE SAINT LOUIS MO 63132-3882 USA,Pediatric Hernia Repair
1478,P01479,Mrs.,Kathryn,Melissa,Williams,F,10/13/1955,70,Single,MO,,4968626969,No,,Asian,,6217,62892,Texas,304-76-7382,P262234613,Asian,5981,D00031,226 COVINGTON MANOR LN SAINT LOUIS MO 63103-8195 USA,Pediatric Hernia Repair
1479,P01480,Mr.,Rebecca,Lynn,Davis,M,06/01/1953,72,Married,MO,,6843606412,Yes,Sr.,Caucasian,,13513,49486,Kansas,817-62-8863,P327715175,White,421,D00030,5883 PESTALOZZI ST SAINT LOUIS MO 63105-8574 USA,Epidural Anesthesia
1480,P01481,Mr.,Scott,Stephanie,Brown,M,05/19/2002,23,Married,MO,,3714046465,No,Jr.,African American,,17569,32024,Missouri,455-61-6701,P262561020,Asian,6934,D00032,7904 BROADWAY ST SAINT LOUIS MO 63119-2110 USA,Coronary Artery Bypass Grafting (CABG)
1481,P01482,Ms.,Sandra,Lynn,Wright,M,09/27/1993,32,Single,MO,,6309432338,No,,Caucasian,,5449,39572,Texas,416-79-8553,P749504211,Hispanic or Latino,6533,D00039,1040 PESTALOZZI ST SAINT LOUIS MO 63134-8036 USA,Coronary Artery Bypass Grafting (CABG)
1482,P01483,Ms.,Kathryn,Rafael,Castro,M,10/01/2004,21,Single,MO,,3236218574,Yes,Jr.,African American,,18607,36152,Illinois,534-34-4100,P220128627,Other,6579,D00048,4191 CARDINAL WAY APT 2501 SAINT LOUIS MO 63127-8273 USA,Colonoscopy
1483,P01484,Dr.,Rebecca,Brendan,Perkins,F,06/26/1999,26,Single,MO,,6655436927,No,III,Asian,,16521,63144,Illinois,114-52-4049,P970179457,Black,1433,D00010,5863 COVINGTON MANOR LN SAINT LOUIS MO 63137-4003 USA,Electroconvulsive Therapy (ECT)
1484,P01485,Master,Jennifer,Michael,Hopkins,M,05/05/1981,44,Divorced,MO,,6127674343,No,,Caucasian,,7373,64866,California,799-90-9046,P949707672,Hispanic or Latino,2713,D00032,4361 LAFAYETTE AVE SAINT LOUIS MO 63134-2671 USA,Coronary Artery Bypass Grafting (CABG)
1485,P01486,Master,Samuel,Leslie,Wright,F,04/01/1991,34,Single,MO,,6040977028,No,III,Hispanic,,8023,38938,Texas,738-69-5623,P288617138,Asian,6390,D00008,8726 LAFAYETTE AVE SAINT LOUIS MO 63128-1326 USA,Pediatric Hernia Repair
1486,P01487,Master,Samuel,Justin,Berg,F,11/19/1985,40,Widowed,MO,,9365238262,Yes,Jr.,Caucasian,,12396,66844,Texas,840-32-7070,P809324012,Black,7660,D00040,5094 CARDINAL WAY APT 2501 SAINT LOUIS MO 63124-6216 USA,CT-guided biopsy
1487,P01488,Dr.,Benjamin,Leslie,Hopkins,F,04/04/1971,54,Widowed,MO,,4830379677,Yes,,Native American,,10778,85156,California,384-87-4343,P660466987,Hispanic or Latino,3641,D00025,6854 PINE ST SAINT LOUIS MO 63123-8345 USA,CT-guided biopsy
1488,P01489,Mrs.,Kathryn,Julian,Hopkins,M,09/20/1996,29,Married,MO,,7196406999,No,,Native American,,7282,84654,Kansas,452-63-1221,P257613250,Other,5436,D00041,8304 LINDENWOOD AVE SAINT LOUIS MO 63109-6778 USA,Epidural Anesthesia
1489,P01490,Master,Kathryn,Stephanie,Perkins,M,06/09/1957,68,Married,MO,,3815331616,No,III,Asian,,13623,32862,Kansas,931-71-9936,P285420378,Other,815,D00028,9571 PESTALOZZI ST SAINT LOUIS MO 63115-9610 USA,Pediatric Hernia Repair
1490,P01491,Mrs.,Samuel,Julian,Perkins,M,02/09/1965,60,Widowed,MO,,6870688550,No,Jr.,Asian,,9661,95072,Kansas,731-56-1959,P192110036,Black,6113,D00043,1967 PESTALOZZI ST SAINT LOUIS MO 63122-2040 USA,Total Knee Replacement
1491,P01492,Master,Jennifer,Rafael,Cook,F,08/22/1971,54,Single,MO,,7209364118,No,,Hispanic,,7791,48946,Missouri,781-51-4816,P585243695,Other,9480,D00005,5797 PINE ST SAINT LOUIS MO 63129-1964 USA,Epidural Anesthesia
1492,P01493,Mr.,Kathryn,Leslie,Brown,F,03/04/1953,72,Married,MO,,9795011954,Yes,III,Native American,,11630,65098,Illinois,977-94-2882,P168038105,Asian,972,D00009,955 COVINGTON MANOR LN SAINT LOUIS MO 63109-2745 USA,Electroconvulsive Therapy (ECT)
1493,P01494,Mr.,Dawn,Julian,Williams,F,02/04/1994,31,Single,MO,,1093120582,Yes,III,African American,,18217,93492,Texas,208-29-9537,P825588546,Asian,6486,D00036,7606 LINDENWOOD AVE SAINT LOUIS MO 63130-7002 USA,Excision of Skin Cancer
1494,P01495,Dr.,John,Stephanie,Berg,F,04/25/1951,74,Divorced,MO,,9473506429,Yes,III,Hispanic,,12752,73236,Kansas,414-27-5830,P618007830,Other,6616,D00007,7855 CARDINAL WAY APT 2501 SAINT LOUIS MO 63132-9367 USA,Coronary Artery Bypass Grafting (CABG)
1495,P01496,Dr.,Angela,Paul,Brown,M,11/09/1991,34,Married,MO,,5280714320,No,Jr.,Native American,,18350,82904,Texas,946-27-9409,P607685516,White,2072,D00008,6816 CATALAN ST SAINT LOUIS MO 63122-9096 USA,Pediatric Hernia Repair
1496,P01497,Mr.,Sandra,Brendan,Hopkins,F,03/14/1996,29,Divorced,MO,,4062720687,No,Sr.,Caucasian,,5084,60076,California,748-98-6810,P831254452,Other,2482,D00003,199 TORLINA DR SAINT LOUIS MO 63117-3519 USA,Pediatric Hernia Repair
1497,P01498,Mr.,Jennifer,Stephanie,Wright,F,04/09/1982,43,Divorced,MO,,4821905268,Yes,III,Native American,,12964,78604,Illinois,837-12-3718,P597708558,Asian,9090,D00010,6854 TORLINA DR SAINT LOUIS MO 63133-4428 USA,Electroconvulsive Therapy (ECT)
1498,P01499,Dr.,Angela,Brendan,Brown,M,08/15/1980,45,Married,MO,,7360201479,No,III,Hispanic,,10630,40301,California,631-64-5977,P361133599,Hispanic or Latino,3611,D00043,1702 LAFAYETTE AVE SAINT LOUIS MO 63138-8569 USA,Total Knee Replacement
1499,P01500,Mrs.,Dawn,Lynn,Cook,M,10/10/1963,62,Single,MO,,4122849169,Yes,Sr.,Caucasian,,11825,39041,Texas,948-46-9343,P516253845,Black,4674,D00005,4582 TORLINA DR SAINT LOUIS MO 63113-3144 USA,Epidural Anesthesia
1500,P01501,Ms.,Angela,Justin,Berg,M,10/04/1993,32,Widowed,MO,,1141025191,Yes,III,Native American,,7200,38301,Texas,107-64-1128,P558853369,White,9333,D00008,4005 COVINGTON MANOR LN SAINT LOUIS MO 63111-6159 USA,Pediatric Hernia Repair
1501,P01502,Dr.,Dawn,Lynn,Berg,M,06/24/1999,26,Widowed,MO,,7387821263,Yes,III,Asian,,16764,57522,Kansas,805-28-1806,P652850783,Hispanic or Latino,7981,D00015,267 PINE ST SAINT LOUIS MO 63110-7601 USA,Total Knee Replacement
1502,P01503,Master,Rebecca,Brendan,Castro,M,12/20/1973,52,Divorced,MO,,5687981071,Yes,III,Caucasian,,19906,34790,Texas,833-74-9386,P304916656,Hispanic or Latino,4169,D00013,1967 PINE ST SAINT LOUIS MO 63124-7685 USA,Excision of Skin Cancer
1503,P01504,Ms.,Samuel,Paul,Cook,F,02/03/1977,48,Widowed,MO,,2882045531,Yes,III,Caucasian,,5284,56468,Illinois,316-94-4455,P588928752,White,8213,D00015,2475 TORLINA DR SAINT LOUIS MO 63122-8721 USA,Total Knee Replacement
1504,P01505,Mrs.,Angela,Rafael,Hopkins,F,06/04/1997,28,Divorced,MO,,1439485026,Yes,Sr.,Hispanic,,17040,66078,Texas,424-63-9020,P465554798,Asian,4774,D00002,8348 CHASE PARK LN SAINT LOUIS MO 63130-7421 USA,Total Knee Replacement
1505,P01506,Master,Sandra,Stephanie,Hopkins,F,05/04/1991,34,Widowed,MO,,8518760901,No,III,Asian,,7413,82035,Missouri,720-43-4907,P106939551,Hispanic or Latino,94,D00033,2488 COVINGTON MANOR LN SAINT LOUIS MO 63124-6866 USA,Coronary Artery Bypass Grafting (CABG)
1506,P01507,Mrs.,John,Michael,Williams,M,02/20/1967,58,Widowed,MO,,2822080518,No,Jr.,African American,,6658,77896,Texas,953-73-9900,P146269276,Other,6105,D00016,6770 PESTALOZZI ST SAINT LOUIS MO 63129-4784 USA,Total Knee Replacement
1507,P01508,Dr.,Samuel,Leslie,Castro,M,12/21/2001,24,Married,MO,,1001979985,Yes,,Hispanic,,9477,77508,Kansas,440-12-4293,P464186032,White,321,D00009,1869 COVINGTON MANOR LN SAINT LOUIS MO 63114-9804 USA,Electroconvulsive Therapy (ECT)
